Ticker,Security,GICS.Sector,GICS.Sub.Industry,Market.Cap,,
GWW,W. W. Grainger,Industrials,Industrial Machinery,22888764194,,
HAL,Halliburton,Energy,Oil & Gas Equipment & Services,18121662790,,
HAS,Hasbro,Consumer Discretionary,Leisure Products,13751788028,,
HBAN,Huntington Bancshares,Financials,Regional Banks,22480580325,,
HBI,Hanesbrands,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",7201253812,,
HCA,HCA Healthcare,Health Care,Health Care Facilities,77877718594,,
HD,Home Depot,Consumer Discretionary,Home Improvement Retail,3.55E+11,,
HES,Hess Corporation,Energy,Integrated Oil & Gas,22293360000,,
HIG,The Hartford,Financials,Property & Casualty Insurance,23667649169,,
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,8325177032,,
HLT,Hilton Worldwide,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",34083297800,,
HOLX,Hologic,Health Care,Health Care Equipment,19465297446,,
HON,Honeywell,Industrials,Industrial Conglomerates,1.60E+11,,
HPE,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",19863160000,,
HPQ,HP,Information Technology,"Technology Hardware, Storage & Peripherals",36518170000,,
HRL,Hormel,Consumer Staples,Packaged Foods & Meats,24875871368,,
HSIC,Henry Schein,Health Care,Health Care Distributors,10560810000,,
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,11434284001,,
HSY,The Hershey Company,Consumer Staples,Packaged Foods & Meats,36962456102,,
HUM,Humana,Health Care,Managed Health Care,52420922271,,
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,13896755280,,
IBM,IBM,Information Technology,IT Consulting & Other Services,1.29E+11,,
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,65838474432,,
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,56639300397,,
IEX,IDEX Corporation,Industrials,Industrial Machinery,17044862839,,
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,39078251430,,
ILMN,Illumina,Health Care,Life Sciences Tools & Services,75350988000,,
INCY,Incyte,Health Care,Biotechnology,16260103138,,
INFO,IHS Markit,Industrials,Research & Consulting Services,47530530652,,
INTC,Intel,Information Technology,Semiconductors,2.17E+11,,
INTU,Intuit,Information Technology,Application Software,1.47E+11,,
IP,International Paper,Materials,Paper Packaging,23418810000,,
IPG,Interpublic Group,Communication Services,Advertising,14766661803,,
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services,9062383330,,
IQV,IQVIA,Health Care,Life Sciences Tools & Services,47240096442,,
IR,Ingersoll Rand,Industrials,Industrial Machinery,22053925452,,
IRM,Iron Mountain,Real Estate,Specialized REITs,13439641729,,
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,1.19E+11,,
IT,Gartner,Information Technology,IT Consulting & Other Services,25341388812,,
ITW,Illinois Tool Works,Industrials,Industrial Machinery,73280408348,,
IVZ,Invesco,Financials,Asset Management & Custody Banks,11548636754,,
J,Jacobs Engineering Group,Industrials,Construction & Engineering,18023784664,,
JBHT,J. B. Hunt,Industrials,Trucking,18360909840,,
JCI,Johnson Controls,Industrials,Building Products,51928266422,,
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,13053694656,,
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,4.63E+11,,
JNPR,Juniper Networks,Information Technology,Communications Equipment,9354617286,,
JPM,JPMorgan Chase,Financials,Diversified Banks,4.78E+11,,
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,22354838262,,
KEY,KeyCorp,Financials,Regional Banks,19792079219,,
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,30340179940,,
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,46488706000,,
KIM,Kimco Realty,Real Estate,Retail REITs,13541566587,,
KLAC,KLA Corporation,Information Technology,Semiconductor Equipment,50175680000,,
KMB,Kimberly-Clark,Consumer Staples,Household Products,45760917958,,
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,42381159975,,
KMX,CarMax,Consumer Discretionary,Specialty Stores,20986040880,,
KO,Coca-Cola Company,Consumer Staples,Soft Drinks,2.47E+11,,
KR,Kroger,Consumer Staples,Food Retail,32007944013,,
KSU,Kansas City Southern,Industrials,Railroads,26572596479,,
L,Loews Corporation,Financials,Multi-line Insurance,14330106100,,
LB,L Brands,Consumer Discretionary,Specialty Stores,16406470742,,
LDOS,Leidos,Industrials,Diversified Support Services,13625650500,,
LEG,Leggett & Platt,Consumer Discretionary,Home Furnishings,6642284187,,
LEN,Lennar,Consumer Discretionary,Homebuilding,32818530000,,
LH,LabCorp,Health Care,Health Care Services,28815888000,,
LHX,L3Harris Technologies,Industrials,Aerospace & Defense,46405938078,,
LIN,Linde,Materials,Industrial Gases,1.59E+11,,
LKQ,LKQ Corporation,Consumer Discretionary,Distributors,14905360288,,
LLY,Eli Lilly & Co,Health Care,Pharmaceuticals,2.53E+11,,
LMT,Lockheed Martin,Industrials,Aerospace & Defense,99201182377,,
LNC,Lincoln National,Financials,Multi-line Insurance,13218524922,,
LNT,Alliant Energy,Utilities,Electric Utilities,15260726742,,
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,1.35E+11,,
LRCX,Lam Research,Information Technology,Semiconductor Equipment,83219810000,,
LUV,Southwest Airlines,Industrials,Airlines,30049624155,,
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,30781145013,,
LW,Lamb Weston,Consumer Staples,Packaged Foods & Meats,9705558720,,
LYB,LyondellBasell,Materials,Specialty Chemicals,35170949156,,
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,18173988399,,
MA,Mastercard,Information Technology,Data Processing & Outsourced Services,3.57E+11,,
MAA,Mid-America Apartments,Real Estate,Residential REITs,21743289459,,
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",43887084745,,
MAS,Masco,Industrials,Building Products,15494648470,,
MCD,McDonald's,Consumer Discretionary,Restaurants,1.78E+11,,
